long,lat,origin
117°43′11″W,34°6′36″N,"https://en.wikipedia.org/wiki/Claremont,_California"
NA,NA,https://en.wikipedia.org/wiki/Indie_folk
NA,NA,https://en.wikipedia.org/wiki/Merge_Records
NA,NA,https://en.wikipedia.org/wiki/John_Darnielle
82°33′10″W,35°35′45″N,"https://en.wikipedia.org/wiki/Asheville,_North_Carolina"
NA,NA,https://en.wikipedia.org/wiki/Alternative_rock
75°09′49″W,39°57′10″N,"https://en.wikipedia.org/wiki/Philadelphia,_Pennsylvania"
NA,NA,https://en.wikipedia.org/wiki/Alternative_pop
NA,NA,https://en.wikipedia.org/wiki/Dead_Oceans
NA,NA,https://en.wikipedia.org/wiki/Michelle_Zauner
02°59′31″W,53°24′27″N,https://en.wikipedia.org/wiki/Liverpool
NA,NA,https://en.wikipedia.org/wiki/Rock_music
NA,NA,https://en.wikipedia.org/wiki/Parlophone
NA,NA,https://en.wikipedia.org/wiki/Plastic_Ono_Band
NA,NA,https://en.wikipedia.org/wiki/The_Quarrymen
NA,NA,https://en.wikipedia.org/wiki/John_Lennon
121°29′40″W,38°34′54″N,"https://en.wikipedia.org/wiki/Sacramento,_California"
NA,NA,https://en.wikipedia.org/wiki/Alternative_rock
NA,NA,https://en.wikipedia.org/wiki/Capricorn_Records
NA,NA,https://en.wikipedia.org/wiki/John_McCrea_(musician)
NA,NA,https://en.wikipedia.org/wiki/Gabe_Nelson
118°7′55″W,34°09′22″N,"https://en.wikipedia.org/wiki/Pasadena,_California"
NA,NA,https://en.wikipedia.org/wiki/Indie_rock
NA,NA,https://en.wikipedia.org/wiki/PAX_AM
95°56′14″W,36°07′53″N,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma"
96°48′32″W,32°46′45″N,"https://en.wikipedia.org/wiki/Dallas,_Texas"
NA,NA,https://en.wikipedia.org/wiki/Rock_music
NA,NA,https://en.wikipedia.org/wiki/Beggars_Banquet_Records
